Zona Protejata,Latitude,Longitude,Mai multe detalii
Limanu - Herghelia,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Barcăului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca inferioară a Turului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Mureșului Inferior,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Prutului - Vlădești - Frumușița,45.7658645,28.1471457846492,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Siretului Inferior,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Siretului Mijlociu,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Măcin - Niculițel,46.5404239,26.9172887,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Maglavit,44.0334267,23.0988387,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Măgura Odobești,45.8561725,26.9500202,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Marea Neagră,43.95165635,28.638649796613,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Măxineni,45.4106636,27.6389732,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Mlaștina Satchinez,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Mlaștinile Murani,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Almăjului - Locvei,44.66670205,21.881537135988,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Apuseni - Vlădeasa,46.643015,22.8119266836449,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Bodoc - Baraolt,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Rarău - Giumalău,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Retezat,46.8476843796844,23.5589973287714,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Rodnei,47.5592682,24.7073039,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Semenic - Cheile Carașului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Trascăului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Vrancei,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Obcina Feredeului,47.6249496,25.4380659,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Ostrovu Lung - Gostinu,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Babadag,44.8370649,28.7827725,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Bârnova,47.026133,27.6712287674494,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Bogata,46.28527875,26.5153945298271,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Hagieni,43.793723,28.460257560348,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Macedonia,45.491947,21.044511120098,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Miclești,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pescăria Cefa - Pădurea Rădvani,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Piemontul Făgăraș,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Podișul Hârtibaciului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Stepa Casimcea,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Stepa Saraiu - Horea,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Suhaia,43.7395259,25.2529148,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Valea Alceului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Bazinul Fizeșului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Valea Mostiștea,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Valea Oltului Inferior,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Vânători-Neamț,47.2130251,26.3188151,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Vedea - Dunăre,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Acumulările Belcești,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Acumulările Rogojești - Bucecea,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Berteștii de Sus - Gura Ialomiței,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Câmpia Gherghiței,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cânepiști,46.5589837357216,23.7944031274841,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cursul Mijlociu al Someșului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Defileul Crișului Repede - Valea Iadului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dorohoi - Șaua Bucecei,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Drocea - Zarand,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Maramureșului,47.783111,24.623997901811,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Metaliferi,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Călimani,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Gutâi,47.7858837,23.657428,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Nisipurile de la Dăbuleni,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Oltenița - Ulmeni,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Radomir,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Piatra Șoimului - Scorțeni - Gîrleni,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Piemontul Munților Metaliferi - Vințu,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Scroviștea,44.7207086,26.0240243,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Subcarpații Vrancei,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Teremia Mare - Tomnatic,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Tisa Superioară,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Uivar - Diniaș,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Valea Călmățuiului,44.955749,27.626361,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Valea Câlniștei,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Valea Râului Negru,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Vitănești - Răsmirești,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Depresiunea Bozovici,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Acumulările Sârca - Podu Iloaiei,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Ciobănița - Osmancea,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Coridorul Ialomiței,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Defileul Crișului Alb,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Galicea Mare - Băilești,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Goicea - Măceșu de Sus,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Iazul Mare - Stăuceni - Drăcșani,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Mlaștina Iezerul Dorohoi,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Ciurbești - Fânațele Bârca,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacurile din jurul Măscurei,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Buzăului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Mijlocie a Argeșului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Mânjești,46.5981593,27.8164172,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Floreanu - Frumușica - Ciurea,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Piatra Craiului,45.4724575,25.1916296779122,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cheile Nerei - Beușnița,44.93885655,21.8370116540023,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dunăre - Ostroave,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dunărea Veche - Brațul Măcin,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Eleșteiele Jijiei și Miletinului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Depresiunea și Munții Giurgeului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Depresiunea și Munții Ciucului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Domogled - Valea Cernei,45.055384,22.5888847855817,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dumbrăveni,46.2246329,24.5761141,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dumbrăvița - Rotbav - Măgura Codlei,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dunăre - Oltenița,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Balta Albă - Amara - Jirlău,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Balta Mică a Brăilei,45.350799,28.0126169008806,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Balta Tătaru,44.34304265,26.3535786994156,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Balta Vederoasa,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Băneasa - Canaraua Fetei,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Beștepe - Mahmudia,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Bistreț,43.8912292,23.4994752,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Blahnița,44.3591734,22.7839569,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Brațul Borcea,44.3254874,27.7370934,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Calafat - Ciuperceni - Dunăre,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Câmpia Cermeiului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Câmpia Crișului Alb și Crișului Negru,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Câmpia Nirului - Valea Ierului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Canaralele de la Hârșova,44.6803594,27.9428328731633,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cheile Bicazului - Hășmaș,46.7406635,25.8123264510463,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cheile Dobrogei,44.5022802876635,28.42719391541,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Ciocănești - Dunăre,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Comana,45.90568455,25.2236364677159,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Confluența Jiu - Dunăre,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Confluența Olt - Dunăre,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cozia - Buila - Vânturarița,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cursul Dunării - Baziaș - Porțile de Fier,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dealurile Homoroadelor,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dealurile Târnavelor și Valea Nirajului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Defileul Mureșului Inferior - Dealurile Lipovei,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Defileul Mureșului Superior,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Delta Dunării și Complexul Razim - Sinoie,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Deniz Tepe,45.0073956,28.6883589,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Frumoasa,46.4536792,25.8533261,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Grindu - Valea Măcrișului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Horga - Zorleni,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Kogălniceanu - Gura Ialomiței,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Brateș,45.4840105,28.0709033460917,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul și Pădurea Cernica,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacurile de acumulare de pe Crișul Repede,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacurile de pe Valea Ilfovului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacurile Vaduri și Pângărați,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Bârzavei,45.3282552,21.873096,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Timișului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Masivul Ceahlău,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Mața - Cârja - Rădeanu,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Livezile - Dolaț,45.3962549,21.0522784,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Aliman - Adamclisi,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Allah Bair - Capidava,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Avrig - Scorei - Făgăraș,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pescăria Nădlac,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Eleșteiele Iernut - Cipău,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Beibugeac,45.02773295,29.1176214091672,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Plopeni - Chirnogeni,43.9508884,28.1945155,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Bârlad între Zorleni și Gura Gărbăvoțului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Prut,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Tinovul Apa Lină - Honcsok,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Valea Elanului,46.1966228335058,28.0257920654733,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Valea Izei și Dealul Solovan,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Verdele,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Zamostea - Lunca,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Păduricea de la Santău,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Coridorul Ialomiței,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Coridorul Munții Bihorului - Codru Moma,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Coridorul Rusca Montană - Țarcu - Retezat,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Zarandul de Est,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Zarandul de Vest,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Fânațele de la Bogdana,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Fânațele de la Sucutard,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Prigoria - Bengești,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Crișul Alb,46.3452536,22.1464616,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Crișul Negru,46.6911049,22.1075915,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Crișul Repede amonte de Oradea,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dealul Ciocaș - Dealul Vițelului,45.7729232,25.6937493237022,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dealul Istrița,45.118947,26.5425162,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dealul lui Dumnezeu,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dealul Perchiu,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dealurile Agighiolului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Defileul Crișului Negru,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Defileul Crișului Repede - Pădurea Craiului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Defileul Mureșului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Gilort,44.970997,23.5449237,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Moldova între Oniceni și Mitești,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Moldova între Tupilați și Roman,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Moldova între Păltinoasa și Ruși,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Motru,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Mureș între Lipova și Păuliș,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Negru,45.8752482,26.0604809,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Olt între Mărunței și Turnu Măgurele,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Târnava Mică,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Râul Vedea,44.374563405033,26.1345405015377,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Siretul Mijlociu - Bucecea,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Bucegi,45.76641065,22.9083421461522,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Grădiștea Muncelului - Cioclovina,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Gura Vedei - Șaica - Slobozia,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Gutâi - Creasta Cocoșului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Măcinului,45.1903863,28.2350775,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Rodnei,47.5592682,24.7073039,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cheile Turzii,46.5632408,23.6901902,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cheile Vârghișului,46.2208068,25.5442711,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Ciomad - Balvanyos,46.0956075,25.9579825136256,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Ciuperceni - Desa,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Coridorul Jiului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cozia,45.8678361,22.8413705,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Creasta Nemirei,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Oltenița - Mostiștea - Chiciu,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Leaota,45.3228042,25.3162001,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Coasta Rupturile Tanacu,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Floreanu - Frumușica - Ciurea,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Mlaca Tătarilor,45.71573245,24.6502362759522,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Mlaștina după Luncă,46.643278,25.5846102117692,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Glodeni,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Platforma Cotmeana,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Munții Goșman,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Buzăului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Inferioară a Crișului Repede,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Mijlocie a Argeșului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Mureșului Inferior,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Mestecănișul de la Reci,45.8151244,25.9078962453759,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Oltul Superior,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Porumbeni,46.6368396,24.5468039,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Oșești - Bârzești,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Buciumeni - Homocea,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Neudorfului,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurile din Sudul Piemontului Cândești,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lunca Teuzului,46.527825,21.9343444,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Perșani,45.7813098,25.2112003,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Reșca Hotărani,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Someșul Mic,46.9055196,23.7846782,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Soveja,46.01485855,26.6485361290228,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Vânju Mare,44.4250326,22.8712672,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Mureșul Mijlociu - Cugir,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pajiștile de la Mănărade,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Aninișurile de pe Tărlung,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Apuseni,46.5,23.2,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Balta Albă - Amara - Jirlău - Lacul Sărat Câineni,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Balta Mică a Brăilei,45.350799,28.0126169008806,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Bisoca,45.5422326,26.706427,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Brațul Măcin,45.0328559320056,28.1445144817124,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea și mlaștinile eutrofe de la Prejmer,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Delta Dunării,44.8989813,29.225067961856,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Delta Dunării - zona marină,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Drocea,46.1908106,22.2029427,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Făgetul Clujului - Valea Morii,46.6987853,23.5710999,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Pădurea Pătrăuți,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dealul Mare - Hârlău,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Fânațele Bârca,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Fânațele de pe Dealul Corhan - Săbed,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Ferice - Plai,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Codru Moma,46.4633684,22.2669464,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Comana,45.90568455,25.2236364677159,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Corabia - Turnu Măgurele,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Cușma,47.1296484,24.7061712,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Dealul Cetății Lempeș - Mlaștina Hărman,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
